Acteur;Realisateur;Titre;Genre;Duree;evaluation;Voix_off;Box.office;Evaluation_realisateur;Evaluation_acteur;Oscar
Henry Cavill;Guy Ritchie;The Man from U.N.C.L.E.;Action,Adventure,Comedy;116;7.3;202973;45.43;8.09;8.11;0
Hugh Jackman;Darren Aronofsky;The Fountain;Drama,Sci-Fi;96;7.3;199193;10.14;8.06;8.64;0
Hugh Jackman;Denis Villeneuve;Prisoners;Crime,Drama,Mystery;153;8.1;431185;60.96;8.36;8.64;0
Ian McKellen;Peter Jackson;The Hobbit: The Desolation of Smaug;Adventure,Fantasy;161;7.9;513744;258.36;8.47;8.82;0
Ian McKellen;Peter Jackson;The Hobbit: The Battle of the Five Armies;Adventure,Fantasy;144;7.4;385598;255.11;8.47;8.82;0
Jake Gyllenhaal;Denis Villeneuve;Enemy;Mystery,Thriller;91;6.9;111558;1.01;8.36;8.66;0
Jake Gyllenhaal;David Fincher;Zodiac;Crime,Drama,History;157;7.7;329683;33.05;8.7;8.66;0
James Franco;Danny Boyle;127 Hours;Adventure,Biography,Drama;94;7.6;294010;18.33;7.69;8.11;0
James McAvoy;Matthew Vaughn;X: First Class;Action,Adventure,Sci-Fi;132;7.8;550011;146.41;7.82;8.69;0
James McAvoy;Danny Boyle;Trance;Crime,Drama,Mystery;101;7;97141;2.32;7.69;8.69;0
Jamie Foxx;Quentin Tarantino;Django Unchained;Drama,Western;165;8.4;1039115;162.8;8.88;8.01;2
Jeff Bridges;Ethan Coen;True Grit;Adventure,Drama,Western;110;7.6;254904;171.03;7.82;8.13;0
Joaquin Phoenix;Paul Thomas Anderson;Inherent Vice;Comedy,Crime,Drama;148;6.7;69509;8.09;8.27;9.14;0
Johnny Depp;Gore Verbinski;The Lone Ranger;Action,Adventure,Western;150;6.5;190855;89.29;7.92;8.78;0
Johnny Depp;Tim Burton;Sweeney Todd: The Demon Barber of Fleet Street;Drama,Horror,Musical;116;7.4;296289;52.88;8.27;8.78;1
Johnny Depp;Gore Verbinski;Pirates of the Caribbean: Dead Man's Chest;Action,Adventure,Fantasy;151;7.3;552027;423.03;7.92;8.78;1
Johnny Depp;Tim Burton;Dark Shadows;Comedy,Fantasy,Horror;113;6.2;209326;79.71;8.27;8.78;0
Johnny Depp;Gore Verbinski;Pirates of the Caribbean: At World's End;Action,Adventure,Fantasy;169;7.1;498821;309.4;7.92;8.78;0
Jonah Hill;Todd Phillips;War Dogs;Comedy,Crime,Drama;114;7.1;106463;43.02;7.74;8.19;0
Joseph Gordon-Levitt;Oliver Stone;Snowden;Biography,Drama,Thriller;134;7.3;79855;21.48;7.72;8.07;0
Joseph Gordon-Levitt;Robert Zemeckis;The Walk;Adventure,Biography,Crime;123;7.3;92378;10.14;8.15;8.07;0
Josh Brolin;Ethan Coen;Hail, Caesar!;Comedy,Mystery;106;6.3;89059;30;7.82;8.19;0
Kurt Russell;Quentin Tarantino;Death Proof;Thriller;113;7.1;220236;31.13;8.88;8.12;0
Leonardo DiCaprio;Martin Scorsese;The Departed;Crime,Drama,Thriller;151;8.5;937414;132.37;8.6;8.97;4
Leonardo DiCaprio;Martin Scorsese;Shutter Island;Mystery,Thriller;138;8.1;855604;127.97;8.6;8.97;0
Leonardo DiCaprio;Christopher Nolan;Inception;Action,Adventure,Sci-Fi;148;8.8;1583625;292.57;8.71;8.97;4
Leonardo DiCaprio;Martin Scorsese;The Wolf of Wall Street;Biography,Comedy,Crime;180;8.2;865134;116.87;8.6;8.97;0
